1320119;FAIAL
1320120;HORTA TRAZ
1320122;LOMBO TANQUE
1320123;MINGALAO
1320124;SELADINHA
1320125;CALHAU LIMA
1320126;GORADO
1320127;LOMBO GORADO
1320128;OLIVEIRO
1320129;COVOADA
1320130;QUEIMADO
1320131;LOMBO D'OMBROSE/LOMBINHO
1320132;LADEIRA
1320133;BORDEIRA
1320201;CHA DE ALTO MIRA
1320202;CHA DE BRANQUINHO
1320203;CLEMENTINO
1320204;COVOADA BRANCA
1320205;COVOADA DE VASSOURA
1320206;CHÃ LIGEIRAO
1320301;BOCA DE CAVOUCO
1320302;BORDEIRA
1320303;CHÃ / LOMBINHO
1320401;CAVOUCO
1320402;CAVOUCO DE AGUA
1320403;CHA DE BEATRIZ
1320404;CHA DE ESTEVAO
1320405;CHA DE JACINTA
1320406;COUVADA
1320407;FUNDO JORGE LUIS
1320408;MIGUEL PIRES
1320409;LOMBO TANQUIM
1320410;LOMBO TOURO
1320411;LOMBO VELHO
